Model,Test Accuracy,Training Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet Random_2 (Stages: 2),0.49970000982284546,0.6717399954795837,0.4978662533436725,0.4957000000000001,7.665827751159668,2366.139,256.0,642.94140625,898.94140625,3476.473329305649
TakuNet Random_3 (Stages: 1),0.31040000915527344,0.3701399862766266,0.34466264568197863,0.3268000000000001,1.4824390411376953,1153.266,256.0,118.62109375,374.62109375,672.2888336181641
TakuNet Random_4 (Stages: 1),0.33719998598098755,0.3571400046348572,0.3333959518190705,0.3385999999999999,0.8470525741577148,1633.36,256.0,64.7578125,320.7578125,693.6790041923523
TakuNet Random_5 (Stages: 2),0.5091999769210815,0.6488800048828125,0.5052302995801673,0.5115,1.3939781188964844,1273.775,256.0,107.48828125,363.48828125,2025.9835200309753
TakuNet Random_8 (Stages: 1),0.5102999806404114,0.700760006904602,0.5141642514442143,0.513,5.13645076751709,2053.048,256.0,430.56640625,686.56640625,2667.4428584575653
TakuNet Random_9 (Stages: 3),0.2955000102519989,0.28516000509262085,0.28558137018729846,0.2955,3.325850486755371,1020.926,128.0,268.9765625,396.9765625,674.0089755058289
TakuNet Random_10 (Stages: 2),0.3142000138759613,0.33087998628616333,0.3168972593323815,0.3142,3.123894691467285,1291.919,128.0,255.12890625,383.12890625,745.9842803478241
TakuNet Random_11 (Stages: 3),0.28200000524520874,0.32128000259399414,0.29772626751013775,0.28590000000000004,2.710202217102051,1878.854,256.0,216.55859375,472.55859375,963.0091199874878
TakuNet Random_12 (Stages: 2),0.28859999775886536,0.39656001329421997,0.3235834348054242,0.32489999999999997,4.027863502502441,1596.931,256.0,332.70703125,588.70703125,1010.6281526088715
TakuNet Random_13 (Stages: 3),0.48249998688697815,0.7977799773216248,0.49005387364101866,0.4715,5.163311958312988,1392.766,128.0,426.4609375,554.4609375,767.0188961029053
TakuNet Random_14 (Stages: 1),0.3292999863624573,0.3303000032901764,0.33057804957185055,0.3293,1.787125587463379,1736.162,256.0,145.19921875,401.19921875,715.3924188613892
TakuNet Random_15 (Stages: 1),0.19439999759197235,0.18704000115394592,0.16742738759271694,0.19440000000000002,0.23089122772216797,309.758,32.0,11.857421875,43.857421875,308.37812876701355
TakuNet Random_16 (Stages: 3),0.29440000653266907,0.29082000255584717,0.27845046385392896,0.29439999999999994,1.1867475509643555,763.046,96.0,86.31640625,182.31640625,462.82003355026245
TakuNet Random_17 (Stages: 3),0.2540999948978424,0.2574799954891205,0.23723159838105612,0.2526,0.8226661682128906,780.142,128.0,55.234375,183.234375,486.5385720729828
TakuNet Random_18 (Stages: 4),0.44609999656677246,0.6050999760627747,0.44250130613209243,0.4451,1.5389118194580078,720.629,64.0,112.81640625,176.81640625,1199.0672023296356
TakuNet Random_19 (Stages: 1),0.37059998512268066,0.39664000272750854,0.39687527574491244,0.37059999999999993,0.3192453384399414,499.8,64.0,19.21484375,83.21484375,276.1958112716675
TakuNet Random_20 (Stages: 1),0.461899995803833,0.533079981803894,0.45209213444863616,0.4619,0.6035242080688477,1103.32,256.0,43.8359375,299.8359375,2184.8943977355957
TakuNet Random_21 (Stages: 2),0.2703999876976013,0.28591999411582947,0.2555343743281339,0.27040000000000003,1.7039031982421875,932.327,128.0,134.279296875,262.279296875,502.43266797065735
TakuNet Random_22 (Stages: 1),0.48500001430511475,0.6198800206184387,0.4829767217129187,0.4854,2.802229881286621,1531.12,256.0,231.294921875,487.294921875,3278.0522768497467
TakuNet Random_23 (Stages: 4),0.23770000040531158,0.32528001070022583,0.2212868251775652,0.23690000000000005,2.2883243560791016,1060.569,192.0,178.99609375,370.99609375,560.5690867900848
TakuNet Random_25 (Stages: 2),0.5099999904632568,0.6958799958229065,0.5103678163016208,0.5016999999999999,2.396730422973633,1166.927,128.0,193.0546875,321.0546875,1109.7105786800385
TakuNet Random_26 (Stages: 3),0.4794999957084656,0.6373199820518494,0.46930790272791123,0.46799999999999997,2.2538204193115234,929.95,64.0,177.42578125,241.42578125,1527.6659364700317
TakuNet Random_27 (Stages: 3),0.44670000672340393,0.592739999294281,0.4393528345783818,0.44439999999999996,1.7366199493408203,979.198,192.0,134.150390625,326.150390625,1170.942991733551
TakuNet Random_28 (Stages: 1),0.33379998803138733,0.3695400059223175,0.37080570157263376,0.32489999999999997,0.40397071838378906,490.768,48.0,26.43359375,74.43359375,280.601441860199
TakuNet Random_29 (Stages: 3),0.4697999954223633,0.6019200086593628,0.464049060507431,0.46470000000000006,1.6767349243164062,1228.25,256.0,128.26953125,384.26953125,2203.6281037330627
