Model,Test Accuracy,Training Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet 2 stages + Normal + DropOut 0.1,0.8238000273704529,0.8845400214195251,0.8273232656613185,0.8238,3.1380186080932617,1950.625,768.0,1030.7890625,1798.7890625,925.8089246749878
TakuNet 2 stages + DropOut 0.3 + DropOut 0.1,0.8317999839782715,0.8581399917602539,0.8325752789083072,0.8318000000000001,3.1403751373291016,1950.625,768.0,1030.7890625,1798.7890625,931.0437343120575
TakuNet 2 stages + DropOut 0.2  + DropOut 0.1,0.8235999941825867,0.8684599995613098,0.8271614538902934,0.8236000000000001,3.140383720397949,1950.625,768.0,1030.7890625,1798.7890625,922.0241274833679
TakuNet 2 stages + L2 Regulation 0.01,0.753600001335144,0.7878000140190125,0.7681535283508303,0.7536,3.1383848190307617,1950.625,768.0,1030.7890625,1798.7890625,856.8006935119629
TakuNet 2 stages + DropOut 0.3 + L2 Regulation 0.01,0.7250999808311462,0.821619987487793,0.7552700756942496,0.7251000000000001,3.1385669708251953,1950.625,768.0,1030.7890625,1798.7890625,881.0882749557495
Simple_CNN,0.6991000175476074,0.8040800094604492,0.7012927101164731,0.6990999999999999,1.953232765197754,301.732,140.625,654.5390625,795.1640625,100.57614398002625
Deeper_CNN,0.7396000027656555,0.8061000108718872,0.7476509482807505,0.7396,37.23287582397461,3975.58,512.0,12688.2890625,13200.2890625,554.1764590740204
CNN_With_Dropout,0.6682999730110168,0.6657800078392029,0.6773023023612273,0.6683000000000001,1.9552993774414062,301.732,140.625,654.5390625,795.1640625,101.46816563606262
CNN_With_BatchNorm,0.6944000124931335,0.864799976348877,0.6962683541315016,0.6943999999999999,1.967707633972168,381.838,225.0,656.0390625,881.0390625,169.80448985099792
CNN_With_GAP,0.5891000032424927,0.6013200283050537,0.6026940521450399,0.5891,0.31261253356933594,156.132,140.625,94.5390625,235.1640625,89.98185181617737
ResNet_Like_CNN,0.7732999920845032,0.832859992980957,0.7736752832644785,0.7733000000000001,37.24430751800537,4090.268,768.0,12688.2890625,13456.2890625,571.2026166915894
