Model,Test Accuracy,Training Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet 2 stages + Normal,0.506600022315979,0.5885999798774719,0.5285426080168585,0.5065999999999999,3.202230453491211,1956.835,768.0,1053.640625,1821.640625,833.7462332248688
TakuNet 2 stages + DropOut 0.5,0.47540000081062317,0.5298799872398376,0.5153028732640563,0.4754,3.205059051513672,1956.835,768.0,1053.640625,1821.640625,865.8908479213715
TakuNet 2 stages + DropOut 0.3 + DropOut 0.1,0.5090000033378601,0.5464199781417847,0.5267820649219744,0.509,3.2073326110839844,1956.835,768.0,1053.640625,1821.640625,892.996414899826
TakuNet 2 stages + DropOut 0.2  + DropOut 0.1,0.5199999809265137,0.5540599822998047,0.5295148168429826,0.5200000000000001,3.2073326110839844,1956.835,768.0,1053.640625,1821.640625,892.4212822914124
TakuNet 2 stages + L2 Regulation 0.01,0.3305000066757202,0.462119996547699,0.47201806279882275,0.3305,3.205333709716797,1956.835,768.0,1053.640625,1821.640625,860.1739821434021
TakuNet 2 stages + DropOut 0.3 + L2 Regulation 0.01,0.41659998893737793,0.4887999892234802,0.4638351377164933,0.4166,3.205521583557129,1956.835,768.0,1053.640625,1821.640625,904.1181712150574
Simple_CNN,0.3467999994754791,0.4426400065422058,0.3589360071120899,0.34680000000000005,2.020181655883789,307.942,140.625,677.390625,818.015625,104.722487449646
Deeper_CNN,0.009999999776482582,0.008960000239312649,0.0001,0.01,37.761250495910645,4022.11,512.0,12868.640625,13380.640625,561.6686372756958
CNN_With_Dropout,0.2994999885559082,0.2219800055027008,0.30876616612210256,0.29949999999999993,2.022249221801758,307.942,140.625,677.390625,818.015625,103.55855441093445
CNN_With_BatchNorm,0.3443000018596649,0.5445200204849243,0.358528574915531,0.3443,2.034656524658203,388.048,225.0,678.890625,903.890625,178.5234408378601
CNN_With_GAP,0.25429999828338623,0.2605000138282776,0.2644155275036403,0.25429999999999997,0.3795623779296875,162.342,140.625,117.390625,258.015625,92.04430437088013
ResNet_Like_CNN,0.36010000109672546,0.37700000405311584,0.3644622382646968,0.3600999999999999,37.772685050964355,4136.798,768.0,12868.640625,13636.640625,568.0830843448639
