Model,Type,Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet 2 stages,Original,0.8101000189781189,0.8157114399855621,0.8101,3.135281562805176,1950.625,768.0,1030.7890625,1798.7890625,810.1139101982117
TakuNet 3 stages,Original,0.8112000226974487,0.8174538587222584,0.8112,4.444241523742676,2098.37,768.0,1466.5390625,2234.5390625,894.559656381607
TakuNet 4 stages,Original,0.8087999820709229,0.8083782420644114,0.8088,5.752965927124023,2220.003,768.0,1902.2890625,2670.2890625,961.9602727890015
TakuNet 5 stages,Original,0.8112999796867371,0.812068326171946,0.8112999999999999,7.062685012817383,2335.108,768.0,2338.0390625,3106.0390625,968.0703988075256
TakuNet 6 stages,Original,0.8004999756813049,0.8023523746229977,0.8005000000000001,8.374252319335938,2449.125,768.0,2773.7890625,3541.7890625,1006.7217156887054
TakuNet 7 stages,Original,0.8095999956130981,0.810808944621974,0.8096,9.681727409362793,2563.142,768.0,3209.5390625,3977.5390625,1046.4960658550262
Simple_CNN,Original,0.6990000009536743,0.702314281423171,0.6990000000000001,1.953232765197754,301.732,140.625,654.5390625,795.1640625,90.96213388442993
Deeper_CNN,Original,0.10000000149011612,0.01,0.1,37.23287487030029,3975.58,512.0,12688.2890625,13200.2890625,533.2568709850311
CNN_With_Dropout,Original,0.6784999966621399,0.6817710128262382,0.6785,1.9553022384643555,301.732,140.625,654.5390625,795.1640625,91.23336267471313
CNN_With_BatchNorm,Original,0.703000009059906,0.705422816561503,0.7030000000000001,1.9677104949951172,381.838,225.0,656.0390625,881.0390625,160.3298511505127
CNN_With_GAP,Original,0.6089000105857849,0.6154281771054915,0.6089,0.31261539459228516,156.132,140.625,94.5390625,235.1640625,82.24629378318787
ResNet_Like_CNN,Original,0.742900013923645,0.75058652338968,0.7429000000000001,37.244330406188965,4090.268,768.0,12688.2890625,13456.2890625,541.3896691799164
